type_id,peso_medio
"Electric Ground",60
"Water Rock",59.09999990463257
"Fire Fighting",59
"Water Flying",58.70000012715658
"Ground Flying",58.43333435058594
"Psychic Fighting",56.400001525878906
"Normal Grass",56
"Water Fighting",54.800000508626304
Normal,54.61562488228083
"Poison Psychic",54.06666660308838
"Poison Fighting",53.13333384195963
Fighting,50.65555586638274
"Water Poison",50.25
Psychic,49.747500566579404
"Ground Dragon",48.65000009536743
"Ground Dark",48.30000146230062
"Fire Normal",47.5
"Ice Steel",47.5
"Flying Dragon",46.5
"Poison Flying",45.833333333333336
"Ground Grass",45.5
"Psychic Flying",44.2375003695488
"Normal Fighting",44.14999985694885
"Grass Dark",43.44000015258789
Water,43.330137022554055
"Water Bug",43
"Grass Steel",42.96666641285022
"Flying Dark",42.900001525878906
"Normal Ghost",42.75
"Poison Dark",42.54000015258789
"Water Ground",42.42499999701977
"Normal Ground",42.400001525878906
"Rock Grass",42.10000038146973
"Bug Water",40.56666668256124
"Rock Bug",40.349998474121094
Electric,40.103225976228714
"Fighting Flying",39.85000038146973
"Grass Rock",39.79999923706055
Poison,39.533333698908486
"Bug Poison",39.46363641998985
"Fighting Ghost",39.10000038146973
"Bug Fire",37.39999961853027
"Flying Fighting",37
"Rock Water",36.916666666666664
"Rock Poison",36.166666666666664
"Fire Poison",36
"Steel Fairy",35.666666666666664
"Fairy Fighting",35
"Fighting Poison",35
"Ice Psychic",34.46666590372721
"Dark Poison",32.200000047683716
"Normal Water",31.5
Dark,30.291666666666668
"Rock Flying",30.200000002980232
"Water Grass",30.03333330154419
"Psychic Fairy",29.816667079925537
"Fairy Flying",29.733333349227905
"Bug Flying",29.371428387505667
Fire,29.370370423352277
"Electric Grass",28.100000003973644
"Psychic Normal",28
"Electric Flying",27.049999594688416
Flying,26.933333317438763
"Ice Ghost",26.600000381469727
"Dark Fairy",26.333333333333332
"Water Fairy",25.550000190734863
"Electric Poison",25.5
"Dark Psychic",25.25
"Dark Normal",25.059999990463258
Grass,24.87441873550415
"Electric Fighting",23.75
"Poison Fairy",23.050000190734863
"Ice Bug",22.899999976158142
"Steel Ghost",22.375
"Grass Normal",22.200000127156574
"Dark Fire",21.733333428700764
Ghost,21.593749932479113
Fairy,21.542105273196572
"Fighting Psychic",21.34999990463257
"Bug Psychic",21.266666412353516
"Dragon Ghost",21
"Electric Psychic",21
"Dark Fighting",20.90000009536743
"Dragon Fairy",20.600000381469727
"Ice Fairy",19.899999618530273
"Normal Flying",19.159999871253966
"Grass Poison",18.792857221194676
"Grass Flying",18.171428544180735
"Flying Water",18
"Bug Electric",17.60000005364418
"Bug Dark",17.5
"Water Electric",17.25
"Ghost Fire",16.799999713897705
"Rock Fairy",16.749999523162842
"Ice Flying",16
"Grass Fire",15
"Poison Normal",13.950000375509262
"Ghost Poison",13.566666667660078
"Poison Fire",13.500000476837158
"Electric Normal",13.5
"Grass Fairy",13.139999985694885
"Bug Grass",13.040000057220459
"Poison Bug",12
"Electric Fairy",11.350000023841858
"Normal Fairy",10.5
"Poison Water",9.933333396911621
Bug,8.92272727055983
"Fairy Psychic",8
"Dragon Water",8
"Ghost Flying",6.533333381017049
"Bug Ground",5.5
"Psychic Grass",5
"Psychic Fire",4
"Electric Dark",3
"Grass Ghost",2.475000023841858
"Ghost Fairy",2.3499999940395355
"Bug Ghost",1.2000000476837158
"Bug Fairy",0.3500000014901161
"Poison Ghost",0.30000001192092896
