name_id,type_id,species,height,weight
Tsareena,Grass,"Fruit Pok̩mon",1.2,21.4
Trumbeak,"Normal Flying","Bugle Beak Pok̩mon",0.6,14.8
Trubbish,Poison,"Trash Bag Pok̩mon",0.6,31
Tropius,"Grass Flying","Fruit Pok̩mon",2,100
Trevenant,"Ghost Grass","Elder Tree Pok̩mon",1.5,71
Treecko,Grass,"Wood Gecko Pok̩mon",0.5,5
Trapinch,Ground,"Ant Pit Pok̩mon",0.7,15
Tranquill,"Normal Flying","Wild Pigeon Pok̩mon",0.6,15
Toxtricity,"Electric Poison","Punk Pok̩mon",1.6,40
Toxicroak,"Poison Fighting","Toxic Mouth Pok̩mon",1.3,44.4
Toxel,"Electric Poison","Baby Pok̩mon",0.4,11
Toxapex,"Poison Water","Brutal Star Pok̩mon",0.7,14.5
Toucannon,"Normal Flying","Cannon Pok̩mon",1.1,26
Totodile,Water,"Big Jaw Pok̩mon",0.6,9.5
Torterra,"Grass Ground","Continent Pok̩mon",2.2,310
Torracat,Fire,"Fire Cat Pok̩mon",0.7,25
Tornadus,Flying,"Cyclone Pok̩mon",1.4,63
Torkoal,Fire,"Coal Pok̩mon",0.5,80.4
Torchic,Fire,"Chick Pok̩mon",0.4,2.5
Togetic,"Fairy Flying","Happiness Pok̩mon",0.6,3.2
Togepi,Fairy,"Spike Ball Pok̩mon",0.3,1.5
Togekiss,"Fairy Flying","Jubilee Pok̩mon",1.5,38
Togedemaru,"Electric Steel","Roly-Poly Pok̩mon",0.3,3.3
Toedscruel,"Ground Grass","Woodear Pok̩mon",1.9,58
Toedscool,"Ground Grass","Woodear Pok̩mon",0.9,33
Tirtouga,"Water Rock","Prototurtle Pok̩mon",0.7,16.5
Tinkatuff,"Fairy Steel","Hammer Pok̩mon",0.7,59.1
Tinkaton,"Fairy Steel","Hammer Pok̩mon",0.7,112.8
Tinkatink,"Fairy Steel","Metalsmith Pok̩mon",0.4,8.9
Ting-Lu,"Dark Ground","Ruinous Pok̩mon",2.7,699.7
Timburr,Fighting,"Muscular Pok̩mon",0.6,12.5
Thwackey,Grass,"Beat Pok̩mon",0.7,14
Thundurus,"Electric Flying","Bolt Strike Pok̩mon",3,61
Throh,Fighting,"Judo Pok̩mon",1.3,55.5
Thievul,Dark,"Fox Pok̩mon",1.2,19.9
Terrakion,"Rock Fighting","Cavern Pok̩mon",1.9,260
Terapagos,Normal,"Tera Pok̩mon",1.7,77
Tepig,Fire,"Fire Pig Pok̩mon",0.5,9.9
Tentacruel,"Water Poison","Jellyfish Pok̩mon",1.6,55
Tentacool,"Water Poison","Jellyfish Pok̩mon",0.9,45.5
Teddiursa,Normal,"Little Bear Pok̩mon",0.6,8.8
Tauros,"Fighting Water","Wild Bull Pok̩mon",1.4,110
Tatsugiri,"Dragon Water","Mimicry Pok̩mon",0.3,8
Tarountula,Bug,"String Ball Pok̩mon",0.3,4
"Tapu Lele","Psychic Fairy","Land Spirit Pok̩mon",1.2,18.6
"Tapu Koko","Electric Fairy","Land Spirit Pok̩mon",1.8,20.5
"Tapu Fini","Water Fairy","Land Spirit Pok̩mon",1.3,21.2
"Tapu Bulu","Grass Fairy","Land Spirit Pok̩mon",1.9,45.5
Tangrowth,Grass,"Vine Pok̩mon",2,128.6
Tangela,Grass,"Vine Pok̩mon",1,35
Tandemaus,Normal,"Couple Pok̩mon",0.3,1.8
Talonflame,"Fire Flying","Scorching Pok̩mon",1.2,24.5
Taillow,"Normal Flying","TinySwallow Pok̩mon",0.3,2.3
Tadbulb,Electric,"EleTadpole Pok̩mon",0.3,0.4
Sylveon,Fairy,"Intertwining Pok̩mo",1,23.5
Swoobat,"Psychic Flying","Courting Pok̩mon",0.9,10.5
Swirlix,Fairy,"Cotton Candy Pok̩mo",0.4,3.5
Swinub,"Ice Ground","Pig Pok̩mon",0.4,6.5
Swellow,"Normal Flying","Swallow Pok̩mon",0.7,19.8
Swanna,"Water Flying","White Bird Pok̩mon",1.3,24.2
Swampert,"Water Ground","Mud Fish Pok̩mon",1.9,102
Swalot,Poison,"Poison Bag Pok̩mon",1.7,80
Swadloon,"Bug Grass","Leaf-Wrapped Pok̩mo",0.5,7.3
Swablu,"Normal Flying","Cotton Bird Pok̩mon",0.4,1.2
Surskit,"Bug Water","Pond Skater Pok̩mon",0.5,1.7
Sunkern,Grass,"Seed Pok̩mon",0.3,1.8
Sunflora,Grass,"Sun Pok̩mon",0.8,8.5
Suicune,Water,"Aurora Pok̩mon",2,187
Sudowoodo,Rock,"Imitation Pok̩mon",1.2,38
Stunky,"Poison Dark","Skunk Pok̩mon",0.4,19.2
Stunfisk,"Ground Steel","Trap Pok̩mon",0.7,20.5
Stufful,"Normal Fighting","Flailing Pok̩mon",0.5,6.8
Stoutland,Normal,"Big-Hearted Pok̩mon",1.2,61
Stonjourner,Rock,"Big Rock Pok̩mon",2.5,520
Steenee,Grass,"Fruit Pok̩mon",0.7,8.2
Steelix,"Steel Ground","Iron Snake Pok̩mon",10.5,740
Staryu,Water,"Star Shape Pok̩mon",0.8,34.5
Starmie,"Water Psychic","Mysterious Pok̩mon",1.1,80
Starly,"Normal Flying","Starling Pok̩mon",0.3,2
Staravia,"Normal Flying","Starling Pok̩mon",0.6,15.5
Staraptor,"Normal Flying","Predator Pok̩mon",1.2,24.9
Stantler,Normal,"Big Horn Pok̩mon",1.4,71.2
Stakataka,"Rock Steel","Rampart Pok̩mon",5.5,820
Squirtle,Water,"Tiny Turtle Pok̩mon",0.5,9
Squawkabilly,"Normal Flying","Parrot Pok̩mon",0.6,2.4
Spritzee,Fairy,"Perfume Pok̩mon",0.2,0.5
Sprigatito,Grass,"Grass Cat Pok̩mon",0.4,4.1
Spoink,Psychic,"Bounce Pok̩mon",0.7,30.6
Spiritomb,"Ghost Dark","Forbidden Pok̩mon",1,108
Spinda,Normal,"Spot Panda Pok̩mon",1.1,5
Spinarak,"Bug Poison","String Spit Pok̩mon",0.5,8.5
Spidops,Bug,"Trap Pok̩mon",1,16.5
Spheal,"Ice Water","Clap Pok̩mon",0.8,39.5
Spewpa,Bug,"Scatterdust Pok̩mon",0.3,8.4
Spectrier,Ghost,"Swift Horse Pok̩mon",2,44.5
Spearow,"Normal Flying","Tiny Bird Pok̩mon",0.3,2
Solrock,"Rock Psychic","Meteorite Pok̩mon",1.2,154
Solosis,Psychic,"Cell Pok̩mon",0.3,1
Solgaleo,"Psychic Steel","Sunne Pok̩mon",3.4,230
Sobble,Water,"Water Lizard Pok̩mo",0.3,4
Snubbull,Fairy,"Fairy Pok̩mon",0.6,7.8
Snover,"Grass Ice","Frost Tree Pok̩mon",1,50.5
Snorunt,Ice,"Snow Hat Pok̩mon",0.7,16.8
Snorlax,Normal,"Sleeping Pok̩mon",2.1,460
Snom,"Ice Bug","Worm Pok̩mon",0.3,3.8
Snivy,Grass,"Grass Snake Pok̩mon",0.6,8.1
Sneasler,"Fighting Poison","Free Climb Pok̩mon",1.3,43
Sneasel,"Fighting Poison","Sharp Claw Pok̩mon",0.9,27
Smoochum,"Ice Psychic","Kiss Pok̩mon",0.4,6
Smoliv,"Grass Normal","Olive Pok̩mon",0.3,6.5
Smeargle,Normal,"Painter Pok̩mon",1.2,58
Slurpuff,Fairy,"Meringue Pok̩mon",0.8,5
Slugma,Fire,"Lava Pok̩mon",0.7,35
Slowpoke,Psychic,"Dopey Pok̩mon",1.2,36
Slowking,"Poison Psychic","Hexpert Pok̩mon",1.8,79.5
Slowbro,"Poison Psychic","Hermit Crab Pok̩mon",1.6,70.5
"Slither Wing","Bug Fighting","Paradox Pok̩mon",3.2,92
Sliggoo,"Steel Dragon","Snail Pok̩mon",0.7,68.5
Slakoth,Normal,"Slacker Pok̩mon",0.8,24
Slaking,Normal,"Lazy Pok̩mon",2,130.5
Skwovet,Normal,"Cheeky Pok̩mon",0.3,2.5
Skuntank,"Poison Dark","Skunk Pok̩mon",1,38
Skrelp,"Poison Water","Mock Kelp Pok̩mon",0.5,7.3
Skorupi,"Poison Bug","Scorpion Pok̩mon",0.8,12
Skitty,Normal,"Kitten Pok̩mon",0.6,11
Skiploom,"Grass Flying","Cottonweed Pok̩mon",0.6,1
Skiddo,Grass,"Mount Pok̩mon",0.9,31
Skeledirge,"Fire Ghost","Singer Pok̩mon",1.6,326.5
Skarmory,"Steel Flying","Armor Bird Pok̩mon",1.7,50.5
Sizzlipede,"Fire Bug","Radiator Pok̩mon",0.7,1
Sinistea,Ghost,"Black Tea Pok̩mon",0.1,0.2
Sinistcha,"Grass Ghost","Matcha Pok̩mon",0.2,2.2
Simisear,Fire,"Ember Pok̩mon",1,28
Simisage,Grass,"Thorn Monkey Pok̩mo",1.1,30.5
Simipour,Water,"Geyser Pok̩mon",1,29
Silvally,Normal,"Synthetic Pok̩mon",2.3,100.5
Silicobra,Ground,"Sand Snake Pok̩mon",2.2,7.6
Silcoon,Bug,"Cocoon Pok̩mon",0.6,10
Sigilyph,"Psychic Flying","Avianoid Pok̩mon",1.4,14
Shuppet,Ghost,"Puppet Pok̩mon",0.6,2.3
Shuckle,"Bug Rock","Mold Pok̩mon",0.6,20.5
Shroomish,Grass,"Mushroom Pok̩mon",0.4,4.5
Shroodle,"Poison Normal","Toxic Mouse Pok̩mon",0.2,0.7
Shinx,Electric,"Flash Pok̩mon",0.5,9.5
Shiinotic,"Grass Fairy","Illuminating Pok̩mo",1,11.5
Shiftry,"Grass Dark","Wicked Pok̩mon",1.3,59.6
Shieldon,"Rock Steel","Shield Pok̩mon",0.5,57
Shelmet,Bug,"Snail Pok̩mon",0.4,7.7
Shellos,Water,"Sea Slug Pok̩mon",0.3,6.3
Shellder,Water,"Bivalve Pok̩mon",0.3,4
Shelgon,Dragon,"Endurance Pok̩mon",1.1,110.5
Shedinja,"Bug Ghost","Shed Pok̩mon",0.8,1.2
Shaymin,"Grass Flying","Gratitude Pok̩mon",0.4,5.2
Sharpedo,"Water Dark","Brutal Pok̩mon",2.5,130.3
Sewaddle,"Bug Grass","Sewing Pok̩mon",0.3,2.5
Seviper,Poison,"Fang Snake Pok̩mon",2.7,52.5
Servine,Grass,"Grass Snake Pok̩mon",0.8,16
Serperior,Grass,"Regal Pok̩mon",3.3,63
Sentret,Normal,"Scout Pok̩mon",0.8,6
Seismitoad,"Water Ground","Vibration Pok̩mon",1.5,62
Seel,Water,"Sea Lion Pok̩mon",1.1,90
Seedot,Grass,"Acorn Pok̩mon",0.5,4
Sealeo,"Ice Water","Ball Roll Pok̩mon",1.1,87.6
Seaking,Water,"Goldfish Pok̩mon",1.3,39
Seadra,Water,"Dragon Pok̩mon",1.2,25
Scyther,"Bug Flying","Mantis Pok̩mon",1.5,56
"Scream Tail","Fairy Psychic","Paradox Pok̩mon",1.2,8
Scraggy,"Dark Fighting","Shedding Pok̩mon",0.6,11.8
Scrafty,"Dark Fighting","Hoodlum Pok̩mon",1.1,30
Scovillain,"Grass Fire","Spicy Pepper Pok̩mo",0.9,15
Scorbunny,Fire,"Rabbit Pok̩mon",0.3,4.5
Scolipede,"Bug Poison","Megapede Pok̩mon",2.5,200.5
Scizor,"Bug Steel","Pincer Pok̩mon",2,125
Sceptile,"Grass Dragon","Forest Pok̩mon",1.9,55.2
Scatterbug,Bug,"Scatterdust Pok̩mon",0.3,2.5
Sawsbuck,"Normal Grass","Season Pok̩mon",1.9,92.5
Sawk,Fighting,"Karate Pok̩mon",1.4,51
Sandygast,"Ghost Ground","Sand Heap Pok̩mon",0.5,70
"Sandy Shocks","Electric Ground","Paradox Pok̩mon",2.3,60
Sandslash,"Ice Steel","Mouse Pok̩mon",1.2,55
Sandshrew,"Ice Steel","Mouse Pok̩mon",0.7,40
Sandile,"Ground Dark","Desert Croc Pok̩mon",0.7,15.2
Sandaconda,Ground,"Sand Snake Pok̩mon",3.8,65.5
Samurott,"Water Dark","Formidable Pok̩mon",1.5,58.2
Salazzle,"Poison Fire","Toxic Lizard Pok̩mo",1.2,22.2
Salandit,"Poison Fire","Toxic Lizard Pok̩mo",0.6,4.8
Salamence,"Dragon Flying","Dragon Pok̩mon",1.8,112.6
Sableye,"Dark Ghost","Darkness Pok̩mon",0.5,161
Runerigus,"Ground Ghost","Grudge Pok̩mon",1.6,66.6
Rufflet,"Normal Flying","Eaglet Pok̩mon",0.5,10.5
Rowlet,"Grass Flying","Grass Quill Pok̩mon",0.3,1.5
Rotom,"Electric Grass","Plasma Pok̩mon",0.3,0.3
Roserade,"Grass Poison","Bouquet Pok̩mon",0.9,14.5
Roselia,"Grass Poison","Thorn Pok̩mon",0.3,2
Rookidee,Flying,"Tiny Bird Pok̩mon",0.2,1.8
Rolycoly,Rock,"Coal Pok̩mon",0.3,12
Roggenrola,Rock,"Mantle Pok̩mon",0.4,18
Rockruff,Rock,"Puppy Pok̩mon",0.5,9.2
"Roaring Moon","Dragon Dark","Paradox Pok̩mon",2,380
Riolu,Fighting,"Emanation Pok̩mon",0.7,20.2
Rillaboom,Grass,"Drummer Pok̩mon",2.1,90
Ribombee,"Bug Fairy","Bee Fly Pok̩mon",0.2,0.5
Rhyperior,"Ground Rock","Drill Pok̩mon",2.4,282.8
Rhyhorn,"Ground Rock","Spikes Pok̩mon",1,115
Rhydon,"Ground Rock","Drill Pok̩mon",1.9,120
Revavroom,"Steel Poison","Multi-Cyl Pok̩mon",1.8,120
Reuniclus,Psychic,"Multiplying Pok̩mon",1,20.1
Reshiram,"Dragon Fire","Vast White Pok̩mon",3.2,330
Remoraid,Water,"Jet Pok̩mon",0.6,12
Rellor,Bug,"Rolling Pok̩mon",0.2,1
Relicanth,"Water Rock","Longevity Pok̩mon",1,23.4
Registeel,Steel,"Iron Pok̩mon",1.9,205
Regirock,Rock,"Rock Peak Pok̩mon",1.7,230
Regigigas,Normal,"Colossal Pok̩mon",3.7,420
Regieleki,Electric,"Electron Pok̩mon",1.2,145
Regidrago,Dragon,"Dragon Orb Pok̩mon",2.1,200
Regice,Ice,"Iceberg Pok̩mon",1.8,175
Rayquaza,"Dragon Flying","Sky High Pok̩mon",10.8,392
Rattata,"Dark Normal","Mouse Pok̩mon",0.3,3.8
Raticate,"Dark Normal","Mouse Pok̩mon",0.7,25.5
Rapidash,"Psychic Fairy","Unique Horn Pok̩mon",1.7,80
Rampardos,Rock,"Head Butt Pok̩mon",1.6,102.5
Ralts,"Psychic Fairy","Feeling Pok̩mon",0.4,6.6
Raikou,Electric,"Thunder Pok̩mon",1.9,178
Raichu,"Electric Psychic","Mouse Pok̩mon",0.7,21
"Raging Bolt","Electric Dragon","Paradox Pok̩mon",5.2,480
Rabsca,"Bug Psychic","Rolling Pok̩mon",0.3,3.5
Raboot,Fire,"Rabbit Pok̩mon",0.6,9
Qwilfish,"Dark Poison","Balloon Pok̩mon",0.5,3.9
Quilladin,Grass,"Spiny Armor Pok̩mon",0.7,29
Quilava,Fire,"Volcano Pok̩mon",0.9,19
Quaxwell,Water,"Practicing Pok̩mon",1.2,21.5
Quaxly,Water,"Duckling Pok̩mon",0.5,6.1
Quaquaval,"Water Fighting","Dancer Pok̩mon",1.8,61.9
Quagsire,"Water Ground","Water Fish Pok̩mon",1.4,75
Pyukumuku,Water,"Sea Cucumber Pok̩mo",0.3,1.2
Pyroar,"Fire Normal","Royal Pok̩mon",1.5,81.5
Purugly,Normal,"Tiger Cat Pok̩mon",1,43.8
Purrloin,Dark,"Devious Pok̩mon",0.4,10.1
Pupitar,"Rock Ground","Hard Shell Pok̩mon",1.2,152
Pumpkaboo,"Ghost Grass","Pumpkin Pok̩mon",0.8,15
Psyduck,Water,"Duck Pok̩mon",0.8,19.6
Probopass,"Rock Steel","Compass Pok̩mon",1.4,340
Prinplup,Water,"Penguin Pok̩mon",0.8,23
Primeape,Fighting,"Pig Monkey Pok̩mon",1,32
Primarina,"Water Fairy","Soloist Pok̩mon",1.8,44
Porygon2,Normal,"Virtual Pok̩mon",0.6,32.5
Porygon-Z,Normal,"Virtual Pok̩mon",0.9,34
Porygon,Normal,"Virtual Pok̩mon",0.8,36.5
Popplio,Water,"Sea Lion Pok̩mon",0.4,7.5
Poochyena,Dark,"Bite Pok̩mon",0.5,13.6
Ponyta,Psychic,"Unique Horn Pok̩mon",0.8,24
Polteageist,Ghost,"Black Tea Pok̩mon",0.2,0.4
Poltchageist,"Grass Ghost","Matcha Pok̩mon",0.1,1.1
Poliwrath,"Water Fighting","Tadpole Pok̩mon",1.3,54
Poliwhirl,Water,"Tadpole Pok̩mon",1,20
Poliwag,Water,"Tadpole Pok̩mon",0.6,12.4
Politoed,Water,"Frog Pok̩mon",1.1,33.9
Poipole,Poison,"Poison Pin Pok̩mon",0.6,1.8
Plusle,Electric,"Cheering Pok̩mon",0.4,4.2
Piplup,Water,"Penguin Pok̩mon",0.4,5.2
Pinsir,"Bug Flying","Stag Beetle Pok̩mon",1.7,59
Pineco,Bug,"Bagworm Pok̩mon",0.6,7.2
Pincurchin,Electric,"Sea Urchin Pok̩mon",0.3,1
Piloswine,"Ice Ground","Swine Pok̩mon",1.1,55.8
Pikipek,"Normal Flying","Woodpecker Pok̩mon",0.3,1.2
Pikachu,Electric,"Mouse Pok̩mon",0.4,6
Pignite,"Fire Fighting","Fire Pig Pok̩mon",1,55.5
Pidove,"Normal Flying","Tiny Pigeon Pok̩mon",0.3,2.1
Pidgey,"Normal Flying","Tiny Bird Pok̩mon",0.3,1.8
Pidgeotto,"Normal Flying","Bird Pok̩mon",1.1,30
Pidgeot,"Normal Flying","Bird Pok̩mon",2.2,50.5
Pichu,Electric,"Tiny Mouse Pok̩mon",0.3,2
Phione,Water,"Sea Drifter Pok̩mon",0.4,3.1
Pheromosa,"Bug Fighting","Lissome Pok̩mon",1.8,25
Phantump,"Ghost Grass","Stump Pok̩mon",0.4,7
Phanpy,Ground,"Long Nose Pok̩mon",0.5,33.5
Petilil,Grass,"Bulb Pok̩mon",0.5,6.6
Persian,Dark,"Classy Cat Pok̩mon",1.1,33
Perrserker,Steel,"Viking Pok̩mon",0.8,28
Pelipper,"Water Flying","Water Bird Pok̩mon",1.2,28
Pecharunt,"Poison Ghost","Subjugation Pok̩mon",0.3,0.3
Pawniard,"Dark Steel","Sharp Blade Pok̩mon",0.5,10.2
Pawmot,"Electric Fighting","Hands-On Pok̩mon",0.9,41
Pawmo,"Electric Fighting","Mouse Pok̩mon",0.4,6.5
Pawmi,Electric,"Mouse Pok̩mon",0.3,2.5
Patrat,Normal,"Scout Pok̩mon",0.5,11.6
Passimian,Fighting,"Teamwork Pok̩mon",2,82.8
Parasect,"Bug Grass","Mushroom Pok̩mon",1,29.5
Paras,"Bug Grass","Mushroom Pok̩mon",0.3,5.4
Pansear,Fire,"High Temp Pok̩mon",0.6,11
Pansage,Grass,"Grass Monkey Pok̩mo",0.6,10.5
Panpour,Water,"Spray Pok̩mon",0.6,13.5
Pangoro,"Fighting Dark","Daunting Pok̩mon",2.1,136
Pancham,Fighting,"Playful Pok̩mon",0.6,8
Palpitoad,"Water Ground","Vibration Pok̩mon",0.8,17
Palossand,"Ghost Ground","Sand Castle Pok̩mon",1.3,250
Palkia,"Water Dragon","Spatial Pok̩mon",6.3,660
Palafin,Water,"Hero Pok̩mon",1.8,97.4
Pachirisu,Electric,"EleSquirrel Pok̩mon",0.4,3.9
Overqwil,"Dark Poison","Pin Cluster Pok̩mon",2.5,60.5
Oshawott,Water,"Sea Otter Pok̩mon",0.5,5.9
Orthworm,Steel,"Earthworm Pok̩mon",2.5,310
Oricorio,"Ghost Flying","Dancing Pok̩mon",0.6,3.4
Orbeetle,"Bug Psychic","Seven Spot Pok̩mon",0.4,40.8
Oranguru,"Normal Psychic","Sage Pok̩mon",1.5,76
Onix,"Rock Ground","Rock Snake Pok̩mon",8.8,210
Omastar,"Rock Water","Spiral Pok̩mon",1,35
Omanyte,"Rock Water","Spiral Pok̩mon",0.4,7.5
Okidogi,"Poison Fighting","Retainer Pok̩mon",1.8,92
Oinkologne,Normal,"Hog Pok̩mon",1,120
Ogerpon,"Grass Rock","Mask Pok̩mon",1.2,39.8
Oddish,"Grass Poison","Weed Pok̩mon",0.5,5.4
Octillery,Water,"Jet Pok̩mon",0.9,28.5
Obstagoon,"Dark Normal","Blocking Pok̩mon",1.6,46
Nymble,Bug,"Grasshopper Pok̩mon",0.2,1
Nuzleaf,"Grass Dark","Wily Pok̩mon",1,28
Numel,"Fire Ground","Numb Pok̩mon",0.7,24
Nosepass,Rock,"Compass Pok̩mon",1,97
Noivern,"Flying Dragon","Sound Wave Pok̩mon",1.5,85
Noibat,"Flying Dragon","Sound Wave Pok̩mon",0.5,8
Noctowl,"Normal Flying","Owl Pok̩mon",1.6,40.8
Ninjask,"Bug Flying","Ninja Pok̩mon",0.8,12
Ninetales,"Ice Fairy","Fox Pok̩mon",1.1,19.9
